type,kernel,BestCost,BestGamma,Accuracy_Training,Kappa__Training,Sensitivity_Training,Specificity_Training,Balanced_Accuracy_Training,Accuracy_Testing,Kappa__Testing,Sensitivity_Testing,Specificity_Testing,Balanced_Accuracy_Testing,Nombre_De_Vecteur_Support,Temps_D_Execution_En_Seconde
C-classification,linear,100000,1,0.529553762328436,0.0278136126324245,0.525597144013838,0.58839627805145,0.556996711032644,0.539798592909367,0.0391577560153898,0.534079199175622,0.625,0.579539599587811,2448,1.01176084412469
C-classification,polynomial,100000,1,0.423442996068694,0.0388359492642241,0.398181885098082,0.799124247400109,0.598653066249096,0.410953234928956,0.0238030946028788,0.389371411747387,0.732456140350877,0.560913776049132,7734,4.96903712080585
C-classification,radial,100000,1,1,1,1,1,1,0.92799006759553,0.236048311745786,0.976004710731636,0.212719298245614,0.594362004488625,16943,7.27966986894608
C-classification,sigmoid,100000,1,0.887371542865025,0.0460841599263782,0.939899157189651,0.106185002736727,0.523042079963189,0.888260449717202,0.0767751083415699,0.938466068011188,0.140350877192982,0.539408472602085,3267,32.3157670497894
C-classification,polynomial,1000000,10,0.482171184219601,0.0496952581628815,0.463067240808215,0.766283524904215,0.614675382856215,0.458959856531935,0.0300899354106932,0.442808773737671,0.699561403508772,0.571185088623221,7716,4.80490288641718
C-classification,linear,1000,0,0.496913580246914,0.0219206734451711,0.489584483456627,0.605911330049261,0.547747906752944,0.494585833505759,0.0255347212325864,0.485720594729869,0.626506024096386,0.556113309413127,6577,10.0123269389073
C-classification,polynomial,10000,20,1,1,1,1,1,0.87603305785124,0.267390231869758,0.902941176470588,0.478260869565217,0.690601023017903,313,0.248114824295044
C-classification,polynomial,500000,10,0.482171184219601,0.0496952581628815,0.463067240808215,0.766283524904215,0.614675382856215,0.458959856531935,0.0300899354106932,0.442808773737671,0.699561403508772,0.571185088623221,7716,7.92430863247977
