type,kernel,BestCost,BestGamma,Accuracy_Training,Kappa__Training,Sensitivity_Training,Specificity_Training,Balanced_Accuracy_Training,Accuracy_Testing,Kappa__Testing,Sensitivity_Testing,Specificity_Testing,Balanced_Accuracy_Testing,Nombre_De_Vecteur_Support,Temps_D_Execution_En_Seconde
C-classification,linear,10,0,0.620042761569763,0.090792637847505,0.614184240550587,0.707170224411604,0.660677232481095,0.625465581459512,0.0989060663096089,0.618430737523922,0.730263157894737,0.674346947709329,3600,13.2353628830115
C-classification,polynomial,1000000,10,0.88078488171598,0.383354505552739,0.890434654594973,0.737274220032841,0.813854437313907,0.83818457718306,0.220159255556441,0.858972471662005,0.528508771929825,0.693740621795915,3928,5.43416507919629
C-classification,linear,10000,20,0.635862068965517,0.0579920564220431,0.642330383480826,0.542553191489362,0.592441787485094,0.674931129476584,0.107141368241131,0.676470588235294,0.652173913043478,0.664322250639386,464,1.38853438695272
C-classification,polynomial,10000,20,1,1,1,1,1,0.878787878787879,0.178564081464719,0.917647058823529,0.304347826086957,0.610997442455243,232,1.2679328918457
C-classification,linear,500000,10,0.58521277329471,0.0414600712245067,0.586544477567995,0.565407772304324,0.57597612493616,0.583804662712098,0.0504671959882993,0.58236419843957,0.605263157894737,0.593813678167153,3425,17.2799509444502
C-classification,polynomial,500000,10,0.88078488171598,0.383354505552739,0.890434654594973,0.737274220032841,0.813854437313907,0.83818457718306,0.220159255556441,0.858972471662005,0.528508771929825,0.693740621795915,3928,9.62966147800287
